ENSECAT00000013004.1	SYCE1
ENSECAT00000021809.1	SH3D21
ENSECAT00000022594.1	THRAP3
ENSECAT00000002798.1	MAP7D1
ENSECAT00000002882.1	MAP7D1
ENSECAT00000013013.1	TRAPPC3
ENSECAT00000013270.1	COL8A2
ENSECAT00000014112.1	ADPRHL2
ENSECAT00000018869.1	TEKT2
ENSECAT00000025724.1	AGO3
ENSECAT00000026509.1	AGO1
ENSECAT00000026749.1	AGO4
ENSECAT00000010142.1	CLSPN
ENSECAT00000005004.1	C1orf216
ENSECAT00000023102.1	PSMB2
ENSECAT00000003183.1	TFAP2E
ENSECAT00000009211.1	NCDN
ENSECAT00000014327.1	KIAA0319L
ENSECAT00000009572.1	ZMYM4
ENSECAT00000009693.1	ZMYM4
ENSECAT00000000613.1	SFPQ
ENSECAT00000010623.1	ZMYM1
ENSECAT00000012706.1	ZMYM6
ENSECAT00000019530.1	ZMYM6NB
ENSECAT00000020022.1	DLGAP3
ENSECAT00000025151.1	SMIM12
ENSECAT00000025368.1	GJA4
ENSECAT00000005099.1	GJB3
ENSECAT00000005166.1	GJB4
ENSECAT00000005239.1	GJB5
ENSECAT00000025390.1	C1orf94
ENSECAT00000026275.1	CSMD2
ENSECAT00000026307.1	CSMD2
ENSECAT00000026351.1	CSMD2
ENSECAT00000026374.1	CSMD2
ENSECAT00000026389.1	CSMD2
ENSECAT00000026403.1	CSMD2
ENSECAT00000005269.1	HMGB4
ENSECAT00000013355.1	ZSCAN20
ENSECAT00000018300.1	PHC2
ENSECAT00000018336.1	PHC2
ENSECAT00000022696.1	ZNF362
ENSECAT00000023333.1	TRIM62
ENSECAT00000024626.1	AZIN2
ENSECAT00000025632.1	AK2
ENSECAT00000012794.1	RNF19B
ENSECAT00000015186.1	TMEM54
ENSECAT00000017150.1	HPCA
ENSECAT00000020393.1	FNDC5
ENSECAT00000023256.1	S100PBP
ENSECAT00000010637.1	YARS
ENSECAT00000021890.1	KIAA1522
ENSECAT00000023363.1	SYNC
ENSECAT00000024887.1	RBBP4
ENSECAT00000022402.1	ZBTB8OS
ENSECAT00000025065.1	ZBTB8A
ENSECAT00000009492.1	BSDC1
ENSECAT00000016435.1	TSSK3
ENSECAT00000005363.1	MARCKSL1
ENSECAT00000017295.1	HDAC1
ENSECAT00000025147.1	LCK
ENSECAT00000010742.1	FAM167B
ENSECAT00000014469.1	EIF3I
ENSECAT00000014962.1	TMEM234
ENSECAT00000015629.1	DCDC2B
ENSECAT00000016400.1	IQCC
ENSECAT00000017697.1	CCDC28B
ENSECAT00000017752.1	CCDC28B
ENSECAT00000020582.1	TXLNA
ENSECAT00000006035.1	KPNA6
ENSECAT00000014433.1	TMEM39B
ENSECAT00000020673.1	KHDRBS1
ENSECAT00000005928.1	PTP4A2
ENSECAT00000009497.1	SPOCD1
ENSECAT00000010792.1	ADGRB2
ENSECAT00000026287.1	COL16A1
ENSECAT00000026327.1	COL16A1
ENSECAT00000022702.1	PEF1
ENSECAT00000009272.1	HCRTR1
ENSECAT00000015134.1	TINAGL1
ENSECAT00000022590.1	SERINC2
ENSECAT00000026815.1	FABP3
ENSECAT00000027034.1	ZCCHC17
ENSECAT00000007389.1	SNRNP40
ENSECAT00000017632.1	NKAIN1
ENSECAT00000022900.1	PUM1
ENSECAT00000028804.1	SNORD103
ENSECAT00000027830.1	SNORD103
ENSECAT00000027726.1	SNORD103
ENSECAT00000028393.1	SNORD103
ENSECAT00000025685.1	SDC3
ENSECAT00000001019.1	LAPTM5
ENSECAT00000009063.1	MATN1
ENSECAT00000028649.1	7SK
ENSECAT00000012816.1	PTPRU
ENSECAT00000016366.1	MECR
ENSECAT00000027621.1	U6
ENSECAT00000022759.1	SRSF4
ENSECAT00000024392.1	EPB41
ENSECAT00000024460.1	EPB41
ENSECAT00000024526.1	EPB41
ENSECAT00000024139.1	OPRD1
ENSECAT00000024759.1	YTHDF2
ENSECAT00000010237.1	GMEB1
ENSECAT00000027383.1	U11
ENSECAT00000013135.1	TAF12
ENSECAT00000013175.1	RAB42
ENSECAT00000028072.1	SNORA16
ENSECAT00000027880.1	SNORA44
ENSECAT00000027784.1	SNORA61
ENSECAT00000027514.1	SNORD99
ENSECAT00000013677.1	TRNAU1AP
ENSECAT00000018397.1	RCC1
ENSECAT00000027899.1	SNORA73
ENSECAT00000027471.1	SNORA73
ENSECAT00000028573.1	SNORD22
ENSECAT00000024227.1	PHACTR4
ENSECAT00000000481.1	MED18
ENSECAT00000003664.1	SESN2
ENSECAT00000012197.1	ATPIF1
ENSECAT00000013415.1	DNAJC8
ENSECAT00000005391.1	PTAFR
ENSECAT00000018417.1	EYA3
ENSECAT00000025997.1	XKR8
ENSECAT00000000591.1	SMPDL3B
ENSECAT00000006014.1	RPA2
ENSECAT00000008733.1	THEMIS2
ENSECAT00000010128.1	PPP1R8
ENSECAT00000029520.1	SCARNA1
ENSECAT00000013549.1	STX12
ENSECAT00000020686.1	FAM76A
ENSECAT00000000444.1	6-16
ENSECAT00000007886.1	FGR
ENSECAT00000010504.1	AHDC1
ENSECAT00000010737.1	WASF2
ENSECAT00000005434.1	GPR3
ENSECAT00000015114.1	CD164L2
ENSECAT00000015544.1	FCN3
ENSECAT00000016330.1	MAP3K6
ENSECAT00000022199.1	SYTL1
ENSECAT00000025475.1	TMEM222
ENSECAT00000026317.1	WDTC1
ENSECAT00000011993.1	SLC9A1
ENSECAT00000020002.1	FAM46B
ENSECAT00000021824.1	KDF1
ENSECAT00000022834.1	NUDC
ENSECAT00000007206.1	NR0B2
ENSECAT00000007936.1	GPATCH3
ENSECAT00000012989.1	GPN2
ENSECAT00000005515.1	SFN
ENSECAT00000016675.1	ZDHHC18
ENSECAT00000017998.1	PIGV
ENSECAT00000019681.1	ARID1A
ENSECAT00000019703.1	ARID1A
ENSECAT00000018581.1	RPS6KA1
ENSECAT00000018592.1	RPS6KA1
ENSECAT00000015835.1	ZNF683
ENSECAT00000017264.1	DHDDS
ENSECAT00000021526.1	LIN28A
ENSECAT00000023372.1	AIM1L
ENSECAT00000023388.1	AIM1L
ENSECAT00000010107.1	UBXN11
ENSECAT00000012276.1	SH3BGRL3
ENSECAT00000014452.1	CEP85
ENSECAT00000018173.1	CATSPER4
ENSECAT00000020645.1	CNKSR1
ENSECAT00000025683.1	ZNF593
ENSECAT00000005541.1	FAM110D
ENSECAT00000026280.1	PDIK1L
ENSECAT00000026380.1	TRIM63
ENSECAT00000010989.1	SLC30A2
ENSECAT00000014391.1	EXTL1
ENSECAT00000016878.1	PAFAH2
ENSECAT00000023109.1	STMN1
ENSECAT00000005565.1	PAQR7
ENSECAT00000007573.1	AUNIP
ENSECAT00000008972.1	MTFR1L
ENSECAT00000011981.1	SEPN1
ENSECAT00000015168.1	MAN1C1
ENSECAT00000015242.1	MAN1C1
ENSECAT00000020739.1	LDLRAP1
ENSECAT00000003215.1	TMEM57
ENSECAT00000023814.1	TMEM50A
ENSECAT00000007766.1	RSRP1
ENSECAT00000029663.1	U6
ENSECAT00000015100.1	RUNX3
ENSECAT00000017238.1	CLIC4
ENSECAT00000028857.1	SRRM1
ENSECAT00000021286.1	NCMAP
ENSECAT00000021482.1	RCAN3
ENSECAT00000024594.1	NIPAL3
ENSECAT00000006727.1	STPG1
ENSECAT00000010379.1	GRHL3
ENSECAT00000013995.1	IFNLR1
ENSECAT00000017099.1	IL22RA1
ENSECAT00000025470.1	SRSF10
ENSECAT00000026511.1	PNRC2
ENSECAT00000005590.1	CNR2
ENSECAT00000026606.1	FUCA1
ENSECAT00000027133.1	HMGCL
ENSECAT00000027149.1	GALE
ENSECAT00000010763.1	LYPLA2
ENSECAT00000018500.1	PITHD1
ENSECAT00000019480.1	TCEB3
ENSECAT00000022577.1	RPL11
ENSECAT00000024937.1	ID3
ENSECAT00000025703.1	E2F2
ENSECAT00000007569.1	ASAP3
ENSECAT00000010869.1	TCEA3
ENSECAT00000012410.1	ZNF436
ENSECAT00000014737.1	HNRNPR
ENSECAT00000005682.1	HTR1D
ENSECAT00000000747.1	LUZP1
ENSECAT00000021147.1	KDM1A
ENSECAT00000021154.1	KDM1A
ENSECAT00000029012.1	LACTBL1
ENSECAT00000021048.1	C1QB
ENSECAT00000021572.1	C1QC
ENSECAT00000022365.1	C1QA
ENSECAT00000024428.1	EPHA8
ENSECAT00000017310.1	ZBTB40
ENSECAT00000017353.1	ZBTB40
ENSECAT00000020039.1	WNT4
ENSECAT00000015518.1	HSPG2
ENSECAT00000015624.1	HSPG2
ENSECAT00000013731.1	USP48
ENSECAT00000024955.1	RAP1GAP
ENSECAT00000024968.1	RAP1GAP
ENSECAT00000011848.1	ALPL
ENSECAT00000017704.1	ECE1
ENSECAT00000028043.1	U6
ENSECAT00000012388.1	EIF4G3
ENSECAT00000012476.1	EIF4G3
ENSECAT00000008232.1	HP1BP3
ENSECAT00000014348.1	SH2D5
ENSECAT00000016407.1	KIF17
ENSECAT00000021027.1	DDOST
ENSECAT00000009549.1	PINK1
ENSECAT00000014642.1	CDA
ENSECAT00000016274.1	MUL1
ENSECAT00000017953.1	VWA5B1
ENSECAT00000020182.1	UBXN10
ENSECAT00000020226.1	PLA2G2C
ENSECAT00000022285.1	PLA2G2F
ENSECAT00000004023.1	PLA2G2D
ENSECAT00000007285.1	PLA2G5
ENSECAT00000011680.1	SPLA2
ENSECAT00000017137.1	PLA2G2E
ENSECAT00000020989.1	OTUD3
ENSECAT00000021965.1	RNF186
ENSECAT00000022327.1	TMCO4
ENSECAT00000005139.1	HTR6
ENSECAT00000008316.1	MINOS1
ENSECAT00000009550.1	CAPZB
ENSECAT00000017040.1	PQLC2
ENSECAT00000000626.1	AKR7A2
ENSECAT00000013242.1	MRTO4
ENSECAT00000016501.1	EMC1
ENSECAT00000016504.1	EMC1
ENSECAT00000028837.1	UBR4
ENSECAT00000026297.1	UBR4
ENSECAT00000012728.1	ALDH4A1
ENSECAT00000021889.1	PAX7
ENSECAT00000025261.1	KLHDC7A
ENSECAT00000025344.1	IGSF21
ENSECAT00000003512.1	ACTL8
ENSECAT00000007694.1	ARHGEF10L
ENSECAT00000007703.1	ARHGEF10L
ENSECAT00000007927.1	ARHGEF10L
ENSECAT00000007934.1	ARHGEF10L
ENSECAT00000026258.1	RCC2
ENSECAT00000008530.1	PADI6
ENSECAT00000011664.1	PADI4
ENSECAT00000013930.1	PADI3
ENSECAT00000022841.1	PADI1
ENSECAT00000023886.1	PADI2
ENSECAT00000012535.1	SDHB
ENSECAT00000018349.1	ATP13A2
ENSECAT00000008757.1	MFAP2
ENSECAT00000009172.1	CROCC
ENSECAT00000010726.1	NECAP2
ENSECAT00000015426.1	SPATA21
ENSECAT00000016874.1	SZRD1
ENSECAT00000019734.1	FBXO42
ENSECAT00000023377.1	RSG1
ENSECAT00000025819.1	ARHGEF19
ENSECAT00000009174.1	EPHA2
ENSECAT00000025144.1	FAM131C
ENSECAT00000026425.1	HSPB7
ENSECAT00000026744.1	C1orf64
ENSECAT00000026789.1	ZBTB17
ENSECAT00000009186.1	SPEN
ENSECAT00000009267.1	SPEN
ENSECAT00000009279.1	SPEN
ENSECAT00000012265.1	FBLIM1
ENSECAT00000013495.1	TMEM82
ENSECAT00000014016.1	SLC25A34
ENSECAT00000015788.1	PLEKHM2
ENSECAT00000022171.1	RSC1A1
ENSECAT00000001001.1	DDI2
ENSECAT00000001121.1	DDI2
ENSECAT00000008588.1	AGMAT
ENSECAT00000011156.1	DNAJC16
ENSECAT00000018509.1	CASP9
ENSECAT00000018627.1	CASP9
ENSECAT00000027055.1	CTRC
ENSECAT00000028870.1	EFHD2
ENSECAT00000005607.1	TMEM51
ENSECAT00000005694.1	TMEM51
ENSECAT00000007260.1	KAZN
ENSECAT00000009150.1	PRDM2
ENSECAT00000010451.1	LRRC38
ENSECAT00000013197.1	C1orf158
ENSECAT00000013866.1	AADACL3
ENSECAT00000014333.1	DHRS3
ENSECAT00000017918.1	VPS13D
ENSECAT00000017939.1	VPS13D
ENSECAT00000029741.1	ACA59
ENSECAT00000013231.1	TNFRSF1B
ENSECAT00000014792.1	TNFRSF8
ENSECAT00000015530.1	MIIP
ENSECAT00000017643.1	MFN2
ENSECAT00000024861.1	PLOD1
ENSECAT00000014686.1	KIAA2013
ENSECAT00000027505.1	U5
ENSECAT00000014931.1	NPPB
ENSECAT00000015536.1	NPPA
ENSECAT00000016665.1	CLCN6
ENSECAT00000016671.1	CLCN6
ENSECAT00000021606.1	MTHFR
ENSECAT00000023185.1	AGTRAP
ENSECAT00000024398.1	DRAXIN
ENSECAT00000006517.1	MAD2L2
ENSECAT00000009987.1	FBXO6
ENSECAT00000010022.1	FBXO6
ENSECAT00000011663.1	FBXO2
ENSECAT00000013943.1	PTCHD2
ENSECAT00000015854.1	UBIAD1
ENSECAT00000017852.1	MTOR
ENSECAT00000017925.1	MTOR
ENSECAT00000011205.1	ANGPTL7
ENSECAT00000012821.1	EXOSC10
ENSECAT00000021064.1	SRM
ENSECAT00000023503.1	MASP2
ENSECAT00000008644.1	TARDBP
ENSECAT00000008668.1	TARDBP
ENSECAT00000011856.1	C1orf127
ENSECAT00000012723.1	PEX14
ENSECAT00000015190.1	CASZ1
ENSECAT00000018718.1	DFFA
ENSECAT00000020613.1	APITD1-CORT
ENSECAT00000020891.1	PGD
ENSECAT00000023743.1	KIF1B
ENSECAT00000023788.1	KIF1B
ENSECAT00000023792.1	KIF1B
ENSECAT00000023842.1	KIF1B
ENSECAT00000009022.1	UBE4B
ENSECAT00000009029.1	UBE4B
ENSECAT00000009035.1	UBE4B
ENSECAT00000022379.1	NMNAT1
ENSECAT00000023791.1	LZIC
ENSECAT00000029033.1	CTNNBIP1
ENSECAT00000025300.1	CLSTN1
ENSECAT00000025308.1	CLSTN1
ENSECAT00000007780.1	PIK3CD
ENSECAT00000016850.1	TMEM201
ENSECAT00000016897.1	TMEM201
ENSECAT00000017872.1	SLC25A33
ENSECAT00000027687.1	SNORA32
ENSECAT00000019902.1	SPSB1
ENSECAT00000020651.1	H6PD
ENSECAT00000027453.1	eca-mir-34a
ENSECAT00000023079.1	GPR157
ENSECAT00000024381.1	SLC2A5
ENSECAT00000000971.1	CA6
ENSECAT00000001390.1	CA6
ENSECAT00000006878.1	ENO1
ENSECAT00000009209.1	RERE
ENSECAT00000015119.1	SLC45A1
ENSECAT00000017985.1	ERRFI1
ENSECAT00000018192.1	PARK7
ENSECAT00000018242.1	TNFRSF9
ENSECAT00000020291.1	PER3
ENSECAT00000021596.1	VAMP3
ENSECAT00000022451.1	CAMTA1
ENSECAT00000022455.1	CAMTA1
ENSECAT00000028719.1	U4
ENSECAT00000007404.1	DNAJC11
ENSECAT00000010028.1	THAP3
ENSECAT00000010121.1	PHF13
ENSECAT00000029075.1	KLHL21
ENSECAT00000011266.1	ZBTB48
ENSECAT00000012230.1	TAS1R1
ENSECAT00000013774.1	NOL9
ENSECAT00000017465.1	PLEKHG5
ENSECAT00000017495.1	PLEKHG5
ENSECAT00000020471.1	TNFRSF25
ENSECAT00000022074.1	ESPN
ENSECAT00000025114.1	HES2
ENSECAT00000025347.1	ACOT7
ENSECAT00000026590.1	GPR153
ENSECAT00000026643.1	HES3
ENSECAT00000026667.1	ICMT
ENSECAT00000026908.1	RNF207
ENSECAT00000027008.1	RPL22
ENSECAT00000027096.1	CHD5
ENSECAT00000027099.1	CHD5
ENSECAT00000012981.1	KCNAB2
ENSECAT00000012988.1	KCNAB2
ENSECAT00000018688.1	NPHP4
ENSECAT00000018757.1	NPHP4
ENSECAT00000021707.1	AJAP1
ENSECAT00000021765.1	C1orf174
ENSECAT00000021917.1	DFFB
ENSECAT00000022981.1	CEP104
ENSECAT00000024080.1	LRRC47
ENSECAT00000024120.1	LRRC47
ENSECAT00000024890.1	SMIM1
ENSECAT00000024979.1	CCDC27
ENSECAT00000001767.1	TP73
ENSECAT00000007388.1	WRAP73
ENSECAT00000013098.1	TPRG1L
ENSECAT00000014341.1	MEGF6
ENSECAT00000014428.1	MEGF6
ENSECAT00000027746.1	eca-mir-551a
ENSECAT00000016582.1	ARHGEF16
ENSECAT00000018454.1	PRDM16
ENSECAT00000001050.1	ACTRT2
ENSECAT00000021504.1	TTC34
ENSECAT00000022986.1	MMEL1
ENSECAT00000023044.1	MMEL1
ENSECAT00000023046.1	MMEL1
ENSECAT00000008442.1	FAM213B
ENSECAT00000008962.1	TNFRSF14
ENSECAT00000010036.1	PEX10
ENSECAT00000010977.1	RER1
ENSECAT00000011960.1	MORN1
ENSECAT00000013268.1	C-SKI
ENSECAT00000015556.1	PRKCZ
ENSECAT00000020423.1	GABRD
ENSECAT00000021579.1	CFAP74
ENSECAT00000022866.1	TMEM52
ENSECAT00000023439.1	GNB1
ENSECAT00000024692.1	NADK
ENSECAT00000001557.1	SLC35E2
ENSECAT00000015414.1	MMP23B
ENSECAT00000015876.1	MIB2
ENSECAT00000019395.1	MRPL20
ENSECAT00000019741.1	CCNL2
ENSECAT00000021994.1	MXRA8
ENSECAT00000022358.1	DVL1
ENSECAT00000023964.1	TAS1R3
ENSECAT00000024863.1	CPTP
ENSECAT00000025203.1	CPSF3L
ENSECAT00000006377.1	PUSL1
ENSECAT00000008115.1	ACAP3
ENSECAT00000011915.1	SCNN1D
ENSECAT00000016244.1	UBE2J2
ENSECAT00000017431.1	FAM132A
ENSECAT00000001078.1	B3GALT6
ENSECAT00000019027.1	SDF4
ENSECAT00000021228.1	TNFRSF4
ENSECAT00000022137.1	TNFRSF18
ENSECAT00000023075.1	TTLL10
ENSECAT00000023078.1	TTLL10
ENSECAT00000023107.1	TTLL10
ENSECAT00000028269.1	eca-mir-429
ENSECAT00000028588.1	eca-mir-200a
ENSECAT00000027931.1	eca-mir-200b
ENSECAT00000023247.1	C1orf159
ENSECAT00000024283.1	RNF223
ENSECAT00000001183.1	ISG15
ENSECAT00000024531.1	PERM1
ENSECAT00000024635.1	PLEKHN1
ENSECAT00000024971.1	KLHL17
ENSECAT00000025860.1	NOC2L
ENSECAT00000007381.1	SAMD11
ENSECAT00000010735.1	LPL
ENSECAT00000014437.1	SLC18A1
ENSECAT00000017950.1	ATP6V1B2
ENSECAT00000021350.1	LZTS1
ENSECAT00000029549.1	U2
ENSECAT00000029600.1	SNORD112
ENSECAT00000022097.1	GFRA2
ENSECAT00000029576.1	7SK
ENSECAT00000024769.1	DOK2
ENSECAT00000025425.1	XPO7
ENSECAT00000026588.1	NPM2
ENSECAT00000026596.1	FGF17
ENSECAT00000002072.1	DMTN
ENSECAT00000010005.1	FAM160B2
ENSECAT00000010962.1	NUDT18
ENSECAT00000011638.1	HR
ENSECAT00000016161.1	REEP4
ENSECAT00000021634.1	LGI3
ENSECAT00000022524.1	SFTPC
ENSECAT00000023765.1	BMP1
ENSECAT00000023800.1	BMP1
ENSECAT00000023846.1	BMP1
ENSECAT00000026992.1	PHYHIP
ENSECAT00000027137.1	PIWIL2
ENSECAT00000008608.1	SLC39A14
ENSECAT00000010475.1	PPP3CC
ENSECAT00000018755.1	SORBS3
ENSECAT00000018801.1	SORBS3
ENSECAT00000021208.1	PDLIM2
ENSECAT00000021240.1	PDLIM2
ENSECAT00000022170.1	CCAR2
ENSECAT00000023912.1	BIN3
ENSECAT00000025456.1	EGR3
ENSECAT00000025495.1	PEBP4
ENSECAT00000026069.1	RHOBTB2
ENSECAT00000026117.1	RHOBTB2
ENSECAT00000026613.1	CHMP7
ENSECAT00000026996.1	R3HCC1
ENSECAT00000027080.1	LOXL2
ENSECAT00000027082.1	LOXL2
ENSECAT00000027083.1	LOXL2
ENSECAT00000011264.1	ENTPD4
ENSECAT00000013958.1	SLC25A37
ENSECAT00000001320.1	NKX3-1
ENSECAT00000014266.1	NKX2-6
ENSECAT00000014465.1	STC1
ENSECAT00000015968.1	ADAM28
ENSECAT00000021251.1	ADAMDEC1
ENSECAT00000022031.1	ADAM7
ENSECAT00000023905.1	NEFM
ENSECAT00000023930.1	NEFM
ENSECAT00000024490.1	NEFL
ENSECAT00000024537.1	NEFL
ENSECAT00000025964.1	DOCK5
ENSECAT00000026006.1	DOCK5
ENSECAT00000011023.1	GNRH1
ENSECAT00000012264.1	KCTD9
ENSECAT00000013735.1	CDCA2
ENSECAT00000015445.1	EBF2
ENSECAT00000020644.1	PPP2R2A
ENSECAT00000006428.1	BNIP3L
ENSECAT00000008615.1	PNMA2
ENSECAT00000010376.1	DPYSL2
ENSECAT00000016710.1	ADRA1A
ENSECAT00000017168.1	STMN4
ENSECAT00000019693.1	TRIM35
ENSECAT00000021005.1	PTK2B
ENSECAT00000024203.1	CHRNA2
ENSECAT00000025403.1	EPHX2
ENSECAT00000007460.1	CLU
ENSECAT00000011732.1	SCARA3
ENSECAT00000012563.1	CCDC25
ENSECAT00000013488.1	ESCO2
ENSECAT00000013884.1	PBK
ENSECAT00000014531.1	SCARA5
ENSECAT00000014726.1	NUGGC
ENSECAT00000015562.1	ELP3
ENSECAT00000016483.1	PNOC
ENSECAT00000016761.1	ZNF395
ENSECAT00000029671.1	U2
ENSECAT00000018150.1	FBXO16
ENSECAT00000019490.1	FZD3
ENSECAT00000019746.1	EXTL3
ENSECAT00000021361.1	INTS9
ENSECAT00000008521.1	HMBOX1
ENSECAT00000009436.1	KIF13B
ENSECAT00000028086.1	eca-mir-124-1
ENSECAT00000013307.1	PRSS55
ENSECAT00000013429.1	RP1L1
ENSECAT00000013485.1	C8orf74
ENSECAT00000014366.1	PINX1
ENSECAT00000014582.1	XKR6
ENSECAT00000028057.1	eca-mir-598
ENSECAT00000015118.1	MTMR9
ENSECAT00000018905.1	FAM167A
ENSECAT00000019467.1	BLK
ENSECAT00000021620.1	GATA4
ENSECAT00000022324.1	NEIL2
ENSECAT00000022653.1	FDFT1
ENSECAT00000025516.1	CTSB
ENSECAT00000001603.1	DEFB136
ENSECAT00000028300.1	U6
ENSECAT00000002023.1	ADAM29
ENSECAT00000025850.1	GLRA3
ENSECAT00000005397.1	HPGD
ENSECAT00000006175.1	CEP44
ENSECAT00000007947.1	FBXO8
ENSECAT00000028397.1	eca-mir-492-1
ENSECAT00000029472.1	SNORD112
ENSECAT00000009840.1	HAND2
ENSECAT00000009854.1	SCRG1
ENSECAT00000009865.1	SAP30
ENSECAT00000010462.1	HMGB2
ENSECAT00000010768.1	GALNT7
ENSECAT00000011999.1	GALNTL6
ENSECAT00000014261.1	AADAT
ENSECAT00000002224.1	MFAP3L
ENSECAT00000014403.1	C4orf27
ENSECAT00000015823.1	CLCN3
ENSECAT00000015872.1	CLCN3
ENSECAT00000018598.1	NEK1
ENSECAT00000018604.1	NEK1
ENSECAT00000018628.1	NEK1
ENSECAT00000028379.1	U6
ENSECAT00000022853.1	SH3RF1
ENSECAT00000029642.1	SNORA31
ENSECAT00000023578.1	CBR4
ENSECAT00000024847.1	PALLD
ENSECAT00000024857.1	PALLD
ENSECAT00000025859.1	DDX60L
ENSECAT00000026051.1	DDX60
ENSECAT00000026851.1	ANXA10
ENSECAT00000005915.1	TLL1
ENSECAT00000009727.1	CPE
ENSECAT00000010827.1	MSMO1
ENSECAT00000011464.1	KLHL2
ENSECAT00000014733.1	TMEM192
ENSECAT00000015636.1	TRIM60
ENSECAT00000029439.1	7SK
ENSECAT00000015677.1	MARCH1
ENSECAT00000002789.1	TKTL2
ENSECAT00000017053.1	NPY5R
ENSECAT00000017546.1	NPY1R
ENSECAT00000017631.1	NAF1
ENSECAT00000000918.1	FSTL5
ENSECAT00000028515.1	7SK
ENSECAT00000007816.1	RAPGEF2
ENSECAT00000007822.1	RAPGEF2
ENSECAT00000010033.1	C4orf45
ENSECAT00000010752.1	FNIP2
ENSECAT00000011335.1	PPID
ENSECAT00000013185.1	ETFDH
ENSECAT00000029151.1	C4orf46
ENSECAT00000014575.1	RXFP1
ENSECAT00000027591.1	U6atac
ENSECAT00000017141.1	TMEM144
ENSECAT00000018199.1	FAM198B
ENSECAT00000018649.1	GRIA2
ENSECAT00000020378.1	GLRB
ENSECAT00000020781.1	PDGFC
ENSECAT00000028644.1	U6
ENSECAT00000021241.1	CTSO
ENSECAT00000021264.1	TDO2
ENSECAT00000021743.1	ASIC5
ENSECAT00000022682.1	GUCY1B3
ENSECAT00000006300.1	GUCY1A3
ENSECAT00000007151.1	MAP9
ENSECAT00000003923.1	NPY2R
ENSECAT00000028799.1	7SK
ENSECAT00000007713.1	RBM46
ENSECAT00000007803.1	LRAT
ENSECAT00000008714.1	FGG
ENSECAT00000010385.1	FGA
ENSECAT00000010841.1	FGB
ENSECAT00000015264.1	PLRG1
ENSECAT00000017718.1	PCDHGA12
ENSECAT00000017766.1	PCDHGA12
ENSECAT00000017885.1	DCHS2
ENSECAT00000018012.1	SFRP2
ENSECAT00000019013.1	TLR2
ENSECAT00000019963.1	KIAA0922
ENSECAT00000021614.1	MND1
ENSECAT00000022118.1	TRIM2
ENSECAT00000029169.1	U6
ENSECAT00000023113.1	FHDC1
ENSECAT00000023942.1	ARFIP1
ENSECAT00000027764.1	U6
ENSECAT00000004274.1	TIGD4
ENSECAT00000024068.1	TMEM154
ENSECAT00000024328.1	FBXW7
ENSECAT00000004823.1	GATB
ENSECAT00000007480.1	FAM160A1
ENSECAT00000007532.1	PRSS48
ENSECAT00000007966.1	SH3D19
ENSECAT00000028404.1	SNORD73
ENSECAT00000027866.1	SNORD73
ENSECAT00000004805.1	LRBA
ENSECAT00000028950.1	LRBA
ENSECAT00000011728.1	LRBA
ENSECAT00000014896.1	LRBA
ENSECAT00000004920.1	MAB21L2
ENSECAT00000027918.1	5S_rRNA
ENSECAT00000015578.1	DCLK2
ENSECAT00000015584.1	DCLK2
ENSECAT00000017419.1	NR3C2
ENSECAT00000017805.1	ARHGAP10
ENSECAT00000019420.1	PRMT9
ENSECAT00000020945.1	TMEM184C
ENSECAT00000020976.1	EDNRA
ENSECAT00000021649.1	TTC29
ENSECAT00000022023.1	POU4F2
ENSECAT00000029039.1	SLC10A7
ENSECAT00000022386.1	LSM6
ENSECAT00000023103.1	ZNF827
ENSECAT00000023270.1	MMAA
ENSECAT00000024499.1	SMAD1
ENSECAT00000025178.1	OTUD4
ENSECAT00000025599.1	ABCE1
ENSECAT00000026243.1	ANAPC10
ENSECAT00000026353.1	HHIP
ENSECAT00000026370.1	GYPA
ENSECAT00000026386.1	FREM3
ENSECAT00000006248.1	SMARCA5
ENSECAT00000008866.1	GAB1
ENSECAT00000009697.1	USP38
ENSECAT00000011259.1	INPP4B
ENSECAT00000011267.1	INPP4B
ENSECAT00000015025.1	IL15
ENSECAT00000029674.1	7SK
ENSECAT00000015310.1	ZNF330
ENSECAT00000029349.1	7SK
ENSECAT00000016110.1	RNF150
ENSECAT00000016709.1	TBC1D9
ENSECAT00000016784.1	TBC1D9
ENSECAT00000028856.1	UCP1
ENSECAT00000018585.1	ELMOD2
ENSECAT00000018618.1	MGAT4D
ENSECAT00000018997.1	CLGN
ENSECAT00000029780.1	SNORD112
ENSECAT00000020289.1	MAML3
ENSECAT00000020313.1	MGST2
ENSECAT00000020466.1	SETD7
ENSECAT00000020853.1	RAB33B
ENSECAT00000021674.1	NAA15
ENSECAT00000023345.1	NDUFC1
ENSECAT00000023489.1	MGARP
ENSECAT00000023598.1	ELF2
ENSECAT00000023628.1	ELF2
ENSECAT00000024194.1	CCRN4L
ENSECAT00000029084.1	SLC7A11
ENSECAT00000024226.1	SLC7A11
ENSECAT00000024322.1	PCDH18
ENSECAT00000027435.1	U6
ENSECAT00000027786.1	U6
ENSECAT00000029453.1	SNORA31
ENSECAT00000025577.1	C4orf33
ENSECAT00000025970.1	SCLT1
ENSECAT00000026262.1	JADE1
ENSECAT00000029340.1	U7
ENSECAT00000026349.1	PGRMC2
ENSECAT00000005188.1	C4orf29
ENSECAT00000007596.1	MFSD8
